extension,support_status,isa_bases,evidence_kind,distinct_instructions,sample_files,notes
I,used,RV32;RV64,asm;hdl,add;addi;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;ecall;fence;jal;jalr;lb;lbu;lh;lhu;lui;lw;or;ori;sb;sh;sll;slli;slt;slti;sltiu;sltu;sra;srai;srl;srli;sub;sw;xor;xori,rtl/core/kronos_EX.sv;rtl/core/kronos_ID.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S;tests/unit/kronos_ID_unit_test.sv,
M,used,RV32;RV64,hdl,div,rtl/platform/krz/krz_top.sv;rtl/platform/krz/krzboy.sv;rtl/platform/snowflake/snowflake_top.sv,
Sm,used,RV32;RV64,asm;hdl,mret;wfi,riscv-tests/common/crt0.S;rtl/core/kronos_EX.sv;rtl/core/kronos_ID.sv;rtl/core/kronos_types.sv;software/skiptrap/skiptrap.S,
Zicsr,used,RV32;RV64,asm;hdl,csrrc;csrrci;csrrs;csrrsi;csrrw;csrrwi,riscv-tests/common/crt0.S;rtl/core/kronos_ID.sv;tests/unit/counters_unit_test.sv;tests/unit/csr_unit_test.sv;tests/unit/kronos_ID_unit_test.sv,
Zifencei,used,RV32;RV64,hdl,fence.i,tests/unit/kronos_ID_unit_test.sv,
