instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
or,I,RV32;RV64,hdl,0,514,514,0,0,C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_ctrl.v;C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_round.v;C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_srt.v;C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_srt_radix16_only_div.v;C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_srt_radix16_with_sqrt.v
div,M,RV32;RV64,hdl,0,85,85,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_dep_reg_entry.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_dp.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/plic/rtl/csky_apb_1tox_matrix.v;C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_prepare.v
vsetvli,Zvl32b,RV32;RV64,hdl,0,64,64,0,0,C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_sfp.v;C910_RTL_FACTORY/gen_rtl/rtu/rtl/ct_rtu_rob.v;C910_RTL_FACTORY/gen_rtl/rtu/rtl/ct_rtu_rob_entry.v;C910_RTL_FACTORY/gen_rtl/rtu/rtl/ct_rtu_rob_rt.v
and,I,RV32;RV64,hdl,0,62,62,0,0,C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_btb.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ibctrl.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_l1_refill.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_lbuf.v;C910_RTL_FACTORY/gen_rtl/vfdsu/rtl/ct_vfdsu_srt.v
add,I,RV32;RV64,hdl,0,54,54,0,0,C910_RTL_FACTORY/gen_rtl/had/rtl/ct_had_common_regs.v;C910_RTL_FACTORY/gen_rtl/had/rtl/ct_had_regs.v;C910_RTL_FACTORY/gen_rtl/rtu/rtl/ct_rtu_rob_rt.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fadd_double_dp.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fadd_half_dp.v
ld,I,RV32;RV64,hdl,0,51,51,0,0,C910_RTL_FACTORY/gen_rtl/had/rtl/ct_had_ddc_ctrl.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe3_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ibdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_sfp.v
fence,I,RV32;RV64,hdl,0,31,31,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_ctrl.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe4_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ibdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ibuf_entry.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_lbuf_entry.v
jal,I,RV32;RV64,hdl,0,29,29,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
vsetvl,Zvl32b,RV32;RV64,hdl,0,25,25,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_dp.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_is_dp.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_is_pipe_entry.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_special.v
xor,I,RV32;RV64,hdl,0,24,24,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_split_long.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe6_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v
c.j,Zca,RV32;RV64,hdl,0,23,23,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v
max,Zbb,RV32;RV64,hdl,0,20,20,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fadd_double_dp.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fadd_half_dp.v
min,Zbb,RV32;RV64,hdl,0,19,19,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fadd_double_dp.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fadd_half_dp.v
addw,I,RV64,hdl,0,17,17,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v
slt,I,RV32;RV64,hdl,0,17,17,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v
sub,I,RV32;RV64,hdl,0,17,17,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe6_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v
jalr,I,RV32;RV64,hdl,0,16,16,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd_special.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_pcfifo_if.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
beq,I,RV32;RV64,hdl,0,15,15,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
bge,I,RV32;RV64,hdl,0,15,15,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
bgeu,I,RV32;RV64,hdl,0,15,15,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
blt,I,RV32;RV64,hdl,0,15,15,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
bltu,I,RV32;RV64,hdl,0,15,15,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
bne,I,RV32;RV64,hdl,0,15,15,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_bju.v
auipc,I,RV32;RV64,hdl,0,13,13,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_decd_normal.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_pcfifo_if.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_special.v
lui,I,RV32;RV64,hdl,0,13,13,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v
subw,I,RV64,hdl,0,13,13,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe0_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe1_decd.v;C910_RTL_FACTORY/gen_rtl/iu/rtl/ct_iu_alu.v
c.beqz,Zca,RV32;RV64,hdl,0,12,12,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe2_decd.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_ipdp.v;C910_RTL_FACTORY/gen_rtl/ifu/rtl/ct_ifu_precode.v
fclass.s,F,RV32;RV64,hdl,0,12,12,0,0,C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_id_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_ir_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe6_decd.v;C910_RTL_FACTORY/gen_rtl/idu/rtl/ct_idu_rf_pipe7_decd.v;C910_RTL_FACTORY/gen_rtl/vfalu/rtl/ct_fspu_dp.v
