instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
sll,I,RV32;RV64,asm;hdl,22,25,29,0,0,software/baremetal-ide/platform/robo23/startup/startup.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
bgeu,I,RV32;RV64,asm;hdl,11,33,34,0,0,software/baremetal-ide/platform/robo23/startup/startup.S;software/firemarshal/test/bare/crt.S;software/firemarshal/test/rocc/crt.S;software/firesim-paper-workloads/check-rtc/crt.S;software/firesim-paper-workloads/network-benchmarks/common/crt.S
bne,I,RV32;RV64,asm;hdl,11,33,37,0,0,software/baremetal-ide/platform/eaglex/boot/startup.S;software/baremetal-ide/platform/fe310/boot/startup.S;software/baremetal-ide/platform/qemuvirt/boot/startup.S;software/baremetal-ide/platform/robo23/startup/startup.S;software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S
blt,I,RV32;RV64,asm;hdl,10,33,33,0,0,software/baremetal-ide/platform/eaglex/boot/startup.S;software/baremetal-ide/platform/fe310/boot/startup.S;software/baremetal-ide/platform/qemuvirt/boot/startup.S;software/baremetal-ide/platform/robo23/startup/startup.S;software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S
bge,I,RV32;RV64,asm;hdl,9,33,33,0,0,software/baremetal-ide/platform/bearlyml23/startup/startup.S;software/baremetal-ide/platform/eaglex/boot/startup.S;software/baremetal-ide/platform/fe310/boot/startup.S;software/baremetal-ide/platform/qemuvirt/boot/startup.S;software/baremetal-ide/platform/robo23/startup/startup.S
minu,Zbb,RV32;RV64,hdl,0,42,42,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/boom/src/main/scala/v4/lsu/mshrs.scala;generators/rocket-chip-inclusive-cache/design/craft/inclusivecache/src/SourceD.scala;generators/shuttle/src/main/scala/dmem/IOHandler.scala
lw,I,RV32;RV64,asm;hdl,23,18,24,0,0,software/baremetal-ide/platform/eaglex/boot/bootrom.S;software/baremetal-ide/platform/fe310/boot/bootrom.S;software/baremetal-ide/platform/qemuvirt/boot/startup.S;software/baremetal-ide/platform/robo23/startup/bootrom.S;software/embench/embench-iot/config/riscv32/boards/rv32wallyverilog/startup/crt0.S
maxu,Zbb,RV32;RV64,hdl,0,40,40,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/boom/src/main/scala/v4/lsu/mshrs.scala;generators/rocket-chip-inclusive-cache/design/craft/inclusivecache/src/SourceD.scala;generators/shuttle/src/main/scala/dmem/IOHandler.scala
sra,I,RV32;RV64,hdl,0,40,40,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
bltu,I,RV32;RV64,asm;hdl,6,33,33,0,0,software/baremetal-ide/platform/bearlyml23/startup/startup.S;software/baremetal-ide/platform/eaglex/boot/startup.S;software/baremetal-ide/platform/fe310/boot/startup.S;software/baremetal-ide/platform/qemuvirt/boot/startup.S;software/baremetal-ide/platform/robo23/startup/startup.S
