extension,isa_bases,distinct_instructions,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,evidence_kind,instructions,sample_files
I,RV32;RV64,39,714,210,0,124,34,asm;hdl,add;addi;and;andi;auipc;beq;bge;bgeu;blt;bltu;bne;ebreak;fence;jal;jalr;lb;lbu;lh;lhu;lui;lw;or;ori;sb;sh;sll;slli;slt;slti;sltiu;sltu;sra;srai;srl;srli;sub;sw;xor;xori,firmware/start.S;picorv32.v;scripts/icestorm/firmware.S;scripts/presyn/firmware.S;scripts/smtbmc/opcode.v
M,RV32;RV64,8,8,56,0,0,2,asm;hdl,div;divu;mul;mulh;mulhsu;mulhu;rem;remu,firmware/start.S;picorv32.v;picosoc/icebreaker.v;picosoc/picosoc.v;testbench.v
